Start Time,Sample Time,Label,Status,response,Thread Name,data type,success,,Bytes,Sent Bytes,grpThread,allThread,URL,Latency,idle time,Connect Time
1.74847E+12,5048,Resource,200,OK,Thread Group 1-41,text,TRUE,,325305,130,26,26,https://www.simplilearn.com/resources,2461,0,0
1.74847E+12,5002,Resource,200,OK,Thread Group 1-42,text,TRUE,,325304,130,26,26,https://www.simplilearn.com/resources,2480,0,0
1.74847E+12,4797,Resource,200,OK,Thread Group 1-44,text,TRUE,,325304,130,26,26,https://www.simplilearn.com/resources,2798,0,0
1.74847E+12,4524,Resource,200,OK,Thread Group 1-46,text,TRUE,,325304,130,26,26,https://www.simplilearn.com/resources,3033,0,0
1.74847E+12,7024,Resource,200,OK,Thread Group 1-25,text,TRUE,,325304,130,26,26,https://www.simplilearn.com/resources,1962,0,0
1.74847E+12,6720,Corporate,200,OK,Thread Group 1-22,text,TRUE,,432576,139,26,26,https://www.simplilearn.com/corporate-training,2149,0,0
1.74847E+12,7879,Corporate,200,OK,Thread Group 1-12,text,TRUE,,432703,139,25,25,https://www.simplilearn.com/corporate-training,1286,0,0
1.74847E+12,4879,Corporate,200,OK,Thread Group 1-26,text,TRUE,,432584,139,24,24,https://www.simplilearn.com/corporate-training,3006,0,0
1.74847E+12,4928,Corporate,200,OK,Thread Group 1-27,text,TRUE,,432576,139,23,23,https://www.simplilearn.com/corporate-training,3043,0,0
1.74847E+12,8204,Corporate,200,OK,Thread Group 1-6,text,TRUE,,432585,139,22,22,https://www.simplilearn.com/corporate-training,1512,0,0
1.74847E+12,3962,Corporate,200,OK,Thread Group 1-34,text,TRUE,,432585,139,21,21,https://www.simplilearn.com/corporate-training,1499,0,0
1.74847E+12,4008,Corporate,200,OK,Thread Group 1-36,text,TRUE,,432584,139,20,20,https://www.simplilearn.com/corporate-training,1463,0,0
1.74847E+12,4230,Corporate,200,OK,Thread Group 1-35,text,TRUE,,432576,139,19,19,https://www.simplilearn.com/corporate-training,1355,0,0
1.74847E+12,4315,Corporate,200,OK,Thread Group 1-31,text,TRUE,,432576,139,18,18,https://www.simplilearn.com/corporate-training,1398,0,0
1.74847E+12,3742,Corporate,200,OK,Thread Group 1-40,text,TRUE,,432576,139,17,17,https://www.simplilearn.com/corporate-training,1224,0,0
1.74847E+12,4157,Corporate,200,OK,Thread Group 1-32,text,TRUE,,432584,139,17,17,https://www.simplilearn.com/corporate-training,1357,0,0
1.74847E+12,4071,Corporate,200,OK,Thread Group 1-33,text,TRUE,,432576,139,15,15,https://www.simplilearn.com/corporate-training,1327,0,0
1.74847E+12,3492,Corporate,200,OK,Thread Group 1-43,text,TRUE,,432602,139,14,14,https://www.simplilearn.com/corporate-training,1225,0,0
1.74847E+12,8975,Corporate,200,OK,Thread Group 1-14,text,TRUE,,432576,139,13,13,https://www.simplilearn.com/corporate-training,2295,0,0
1.74847E+12,3812,Corporate,200,OK,Thread Group 1-39,text,TRUE,,432576,139,12,12,https://www.simplilearn.com/corporate-training,1260,0,0
1.74847E+12,3567,Corporate,200,OK,Thread Group 1-45,text,TRUE,,432576,139,11,11,https://www.simplilearn.com/corporate-training,1196,0,0
1.74847E+12,3543,Corporate,200,OK,Thread Group 1-44,text,TRUE,,432576,139,10,10,https://www.simplilearn.com/corporate-training,1306,0,0
1.74847E+12,3436,Corporate,200,OK,Thread Group 1-46,text,TRUE,,432576,139,9,9,https://www.simplilearn.com/corporate-training,1341,0,0
1.74847E+12,3918,Corporate,200,OK,Thread Group 1-38,text,TRUE,,432576,139,8,8,https://www.simplilearn.com/corporate-training,1220,0,0
1.74847E+12,3653,Corporate,200,OK,Thread Group 1-42,text,TRUE,,432576,139,7,7,https://www.simplilearn.com/corporate-training,1254,0,0
1.74847E+12,3713,Corporate,200,OK,Thread Group 1-41,text,TRUE,,432592,139,6,6,https://www.simplilearn.com/corporate-training,1222,0,0
1.74847E+12,3958,Corporate,200,OK,Thread Group 1-37,text,TRUE,,432576,139,5,5,https://www.simplilearn.com/corporate-training,1268,0,0
1.74847E+12,6965,Corporate,200,OK,Thread Group 1-28,text,TRUE,,432576,139,4,4,https://www.simplilearn.com/corporate-training,2856,0,0
1.74847E+12,6339,Corporate,200,OK,Thread Group 1-29,text,TRUE,,432584,139,3,3,https://www.simplilearn.com/corporate-training,2556,0,0
1.74847E+12,6223,Corporate,200,OK,Thread Group 1-30,text,TRUE,,432576,139,2,2,https://www.simplilearn.com/corporate-training,1474,0,0
1.74847E+12,5285,Corporate,200,OK,Thread Group 1-25,text,TRUE,,432576,139,1,1,https://www.simplilearn.com/corporate-training,1711,0,0
